epoch,train_loss,val_accuracy
0,0.9415025851305794,0.23529411764705882
1,0.8072844042497522,0.4117647058823529
2,0.7284535099478329,0.47058823529411764
3,0.6684853978016797,0.47058823529411764
4,0.6198508879717659,0.5294117647058824
5,0.6021764401127311,0.5294117647058824
6,0.6085671116324032,0.5294117647058824
7,0.5923869662425097,0.5294117647058824
8,0.5761297502938438,0.5882352941176471
9,0.5696515879210304,0.6470588235294118
10,0.6067958193666795,0.6470588235294118
11,0.5630523720208336,0.5882352941176471
12,0.5806258916854858,0.7058823529411765
13,0.5892279060447917,0.7058823529411765
14,0.5671658288030064,0.7647058823529411
15,0.5574441113892723,0.7647058823529411
16,0.5736112454358269,0.7647058823529411
17,0.5885206162929535,0.7647058823529411
18,0.568655566257589,0.7647058823529411
19,0.5682436473229352,0.7647058823529411
20,0.557908329893561,0.7647058823529411
21,0.564805235932855,0.7647058823529411
22,0.5676449397030998,0.7647058823529411
23,0.553331147221958,0.7647058823529411
24,0.5701127385391909,0.7647058823529411
25,0.5567298303632175,0.7647058823529411
26,0.5558265114531797,0.7647058823529411
27,0.5568093289347256,0.7647058823529411
28,0.5574359806144938,0.7647058823529411
29,0.563855008167379,0.7647058823529411
30,0.5618852464591756,0.7647058823529411
31,0.5613319347886478,0.7647058823529411
32,0.5537508813773885,0.7647058823529411
33,0.5647799723288592,0.7647058823529411
34,0.5578732613254996,0.7647058823529411
35,0.5551892326158636,0.7647058823529411
36,0.5538165990044089,0.7647058823529411
37,0.5593121700427112,0.7647058823529411
38,0.5690599311800564,0.7647058823529411
39,0.5470594097586239,0.7647058823529411
40,0.5596524266635671,0.7647058823529411
41,0.5677494038553799,0.7647058823529411
42,0.5536316826063044,0.7647058823529411
43,0.5596685602384455,0.7647058823529411
44,0.5555305638734032,0.7647058823529411
45,0.5479520734618691,0.7647058823529411
46,0.5539912441197563,0.7647058823529411
47,0.5538279624546275,0.7647058823529411
48,0.5637520253658295,0.7647058823529411
49,0.5596287460888133,0.7647058823529411
